StartDate,EndDate,Status,,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,,,DistributionChannel,UserLanguage,consent,id,birth_year,sc_instructions,spanking_1986,spanking_2018,spanking_self,woman_home_1977,woman_home_2018,woman_home_self,weed_1973,weed_2018,weed_self,affairs_1973,affairs_2018,affairs_self,harassment_1986,harassment_2017,harassment_self,woman_prez_1972,woman_prez_2010,woman_prez_self,religion_1965,religion_2018,religion_self,politics_1990,politics_2016,politics_self,abortion_1977,abortion_2018,abortion_self,premarital_sex_1972,premarital_sex_2018,premarital_sex_self,black_prez_1978,black_prez_2010,black_prez_self,gay_marriage_1988,gay_marriage_2018,gay_marriage_self,gun_1972,gun_2018,gun_self,handgun_1987,handgun_2019,handgun_self,assault_1996,assault_2018,assault_self,death_1972,death_2018,death_self,smoking_1990,smoking_2018,smoking_self,immigration_1965,immigration_2019,immigration_self,i_strength_1994,i_strength_2019,i_strength_self,climate_worry_1990,climate_worry_2019,climate_worry_self,climate_belief_2001,climate_belief_2019,climate_belief_self,women_draft_1979,women_draft_2016,women_draft_self,bible_1976,bible_2017,bible_self,god_1965,god_2017,god_self,black_intel_1990,black_intel_2018,black_intel_self,black_work_1990,black_work_2018,black_work_self,hispanic_work_1990,hispanic_work_2018,hispanic_work_self,hispanic_intel_1990,hispanic_intel_2018,hispanic_intel_self,asian_work_1992,asian_work_2016,asian_work_self,black_marry_1990,black_marry_2018,black_marry_self,hispanic_marry_1990,hispanic_marry_2018,hispanic_marry_self,asian_marry_1990,asian_marry_2018,asian_marry_self,women_politics_1974,women_politics_2018,women_politics_self,abortion_health_1972,abortion_health_2018,abortion_health_self,women_work_1994,women_work_2012,women_work_self,women_preschool_1988,women_preschool_2012,women_preschool,gay_adopt_1992,gay_adopt_2016,gay_adopt,gay_military_1992,gay_military_2012,gay_military_self,communist_1972,communist_2018,communist_self,anti_religion_1972,anti_religion_2018,anti_religion_self,homo_speak_1973,homo_speak_2018,homo_speak_self,militarist_1976,militarist_2018,militarist_self,racist_1976,racist_2018,racist_self,therm_explain,black_1964,black_2016,black_self,hispanic_1976,hispanic_2016,hispanic_self,illegal_1988,illegal_2016,illegal_self,gay_1984,gay_2016,gay_self,asian_1992,asian_2016,asian_self,poor_1972,poor_2016,poor_self,welfare_1976,welfare_2012,welfare_self,feminists_1988,feminists_2016,feminists_self,attention_1,attention_2,social_change,age,gender,race,language,language_2_TEXT,eng_comp,check,check_4_TEXT,education,political_ideology,political_party,lookup,comments,instructions_2_TEXT,FL_59_DO_FL_60,FL_59_DO_FL_270,FL_59_DO_FL_224,FL_59_DO_FL_163,FL_59_DO_FL_166,FL_40_DO_spanking,FL_40_DO_womanhome,FL_40_DO_weed,FL_40_DO_affairs,FL_40_DO_sexualharassment,FL_40_DO_womanpresident,FL_40_DO_religion,FL_40_DO_politics,FL_40_DO_abortion,FL_40_DO_premaritalsex,FL_40_DO_blackpresident,FL_40_DO_gaymarriage,FL_40_DO_gun,FL_40_DO_handgun,FL_40_DO_assault,FL_40_DO_death,FL_40_DO_smoking,FL_40_DO_immigration,FL_40_DO_i_strength,FL_40_DO_climate_worry,FL_40_DO_climate_belief,FL_40_DO_women_draft,FL_40_DO_bible,FL_40_DO_god,FL_40_DO_black_intel,FL_40_DO_black_work,FL_40_DO_hispanic_work,FL_40_DO_hispanic_intel,FL_40_DO_asian_work,FL_40_DO_black_marry,FL_40_DO_hispanic_marry,FL_40_DO_asian_marry,FL_40_DO_women_politics,FL_40_DO_abortion_health,FL_40_DO_women_work,FL_40_DO_women_preschool,FL_40_DO_gay_adopt,FL_40_DO_gay_military,FL_40_DO_communist,FL_40_DO_anti_religion,FL_40_DO_homo_speak,FL_40_DO_militarist,FL_40_DO_racist,FL_272_DO_spanking,FL_272_DO_womanhome,FL_272_DO_weed,FL_272_DO_affairs,FL_272_DO_sexualharassment,FL_272_DO_womanpresident,FL_272_DO_religion,FL_272_DO_politics,FL_272_DO_abortion,FL_272_DO_premaritalsex,FL_272_DO_blackpresident,FL_272_DO_gaymarriage,FL_272_DO_gun,FL_272_DO_handgun,FL_272_DO_assault,FL_272_DO_death,FL_272_DO_smoking,FL_272_DO_immigration,FL_272_DO_i_strength,FL_272_DO_climate_worry,FL_272_DO_climate_belief,FL_272_DO_women_draft,FL_272_DO_bible,FL_272_DO_god,FL_272_DO_black_intel,FL_272_DO_black_work,FL_272_DO_hispanic_work,FL_272_DO_hispanic_intel,FL_272_DO_asian_work,FL_272_DO_black_marry,FL_272_DO_hispanic_marry,FL_272_DO_asian_marry,FL_272_DO_women_politics,FL_272_DO_abortion_health,FL_272_DO_women_work,FL_272_DO_women_preschool,FL_272_DO_gay_adopt,FL_272_DO_gay_military,FL_272_DO_communist,FL_272_DO_anti_religion,FL_272_DO_homo_speak,FL_272_DO_militarist,FL_272_DO_racist,FL_226_DO_spanking,FL_226_DO_womanhome,FL_226_DO_weed,FL_226_DO_affairs,FL_226_DO_sexualharassment,FL_226_DO_womanpresident,FL_226_DO_religion,FL_226_DO_politics,FL_226_DO_abortion,FL_226_DO_premaritalsex,FL_226_DO_blackpresident,FL_226_DO_gaymarriage,FL_226_DO_gun,FL_226_DO_handgun,FL_226_DO_assault,FL_226_DO_death,FL_226_DO_smoking,FL_226_DO_immigration,FL_226_DO_i_strength,FL_226_DO_climate_worry,FL_226_DO_climate_belief,FL_226_DO_women_draft,FL_226_DO_bible,FL_226_DO_god,FL_226_DO_black_intel,FL_226_DO_black_work,FL_226_DO_hispanic_work,FL_226_DO_hispanic_intel,FL_226_DO_asian_work,FL_226_DO_black_marry,FL_226_DO_hispanic_marry,FL_226_DO_asian_marry,FL_226_DO_women_politics,FL_226_DO_abortion_health,FL_226_DO_women_work,FL_226_DO_women_preschool,FL_226_DO_gay_adopt,FL_226_DO_gay_military,FL_226_DO_communist,FL_226_DO_anti_religion,FL_226_DO_homo_speak,FL_226_DO_militarist,FL_226_DO_racist,FL_163_DO_FL_161,FL_163_DO_FL_61,FL_116_DO_spanking,FL_116_DO_womanhome,FL_116_DO_weed,FL_116_DO_affairs,FL_116_DO_sexualharassment,FL_116_DO_womanpresident,FL_116_DO_religion,FL_116_DO_politics,FL_116_DO_abortion,FL_116_DO_premaritalsex,FL_116_DO_blackpresident,FL_116_DO_gaymarriage,FL_116_DO_gun,FL_116_DO_handgun,FL_116_DO_assault,FL_116_DO_death,FL_116_DO_smoking,FL_116_DO_immigration,FL_116_DO_i_strength,FL_116_DO_climate_worry,FL_116_DO_climate_belief,FL_116_DO_women_draft,FL_116_DO_bible,FL_116_DO_god,FL_116_DO_black_intel,FL_116_DO_black_work,FL_116_DO_hispanic_work,FL_116_DO_hispanic_intel,FL_116_DO_asian_work,FL_116_DO_black_marry,FL_116_DO_hispanic_marry,FL_116_DO_asian_marry,FL_116_DO_women_politics,FL_116_DO_abortion_health,FL_116_DO_women_work,FL_116_DO_women_preschool,FL_116_DO_gay_adopt,FL_116_DO_gay_military,FL_116_DO_communist,FL_116_DO_anti_religion,FL_116_DO_homo_speak,FL_116_DO_militarist,FL_116_DO_racist,FL_19_DO_blackthermometer,FL_19_DO_hispanicthermometer,FL_19_DO_illegal,FL_19_DO_Gaysandlesbiansthermometer,FL_19_DO_Asian-Americansthermometer,FL_19_DO_poorpeoplethermometer,FL_19_DO_welfare,FL_19_DO_feministsthermometer,FL_166_DO_FL_167,FL_166_DO_FL_213,FL_169_DO_spanking,FL_169_DO_womanhome,FL_169_DO_weed,FL_169_DO_affairs,FL_169_DO_sexualharassment,FL_169_DO_womanpresident,FL_169_DO_religion,FL_169_DO_politics,FL_169_DO_abortion,FL_169_DO_premaritalsex,FL_169_DO_blackpresident,FL_169_DO_gaymarriage,FL_169_DO_gun,FL_169_DO_handgun,FL_169_DO_assault,FL_169_DO_death,FL_169_DO_smoking,FL_169_DO_immigration,FL_169_DO_i_strength,FL_169_DO_climate_worry,FL_169_DO_climate_belief,FL_169_DO_women_draft,FL_169_DO_bible,FL_169_DO_god,FL_169_DO_black_intel,FL_169_DO_black_work,FL_169_DO_hispanic_work,FL_169_DO_hispanic_intel,FL_169_DO_asian_work,FL_169_DO_black_marry,FL_169_DO_hispanic_marry,FL_169_DO_asian_marry,FL_169_DO_women_politics,FL_169_DO_abortion_health,FL_169_DO_women_work,FL_169_DO_women_preschool,FL_169_DO_gay_adopt,FL_169_DO_gay_military,FL_169_DO_communist,FL_169_DO_anti_religion,FL_169_DO_homo_speak,FL_169_DO_militarist,FL_169_DO_racist,FL_215_DO_blackthermometer,FL_215_DO_hispanicthermometer,FL_215_DO_illegal,FL_215_DO_Gaysandlesbiansthermometer,FL_215_DO_Asian-Americansthermometer,FL_215_DO_poorpeoplethermometer,FL_215_DO_welfare,FL_215_DO_feministsthermometer
2/20/20,2/20/20,IP Address,,100,639,TRUE,43881.57447,R_2OVAtn2IiIWYGrM,,,,,,,anonymous,EN,I consent to take part in this study,5d33df509ce6590001010852,1988,I understand,,,,,,,,,,15,30,Almost always wrong,,,,,,,95,40,Not very important,30,30,Fairly interested,,,,,,,25,75,Yes,,,,,,,,,,,,,,,,,,,50,70,Increased,,,,20,40,A great deal,,,,,,,,,,80,50,No,3,4,4,,,,,,,,,,2,3,4,40,20,Neither in favor nor opposed,,,,,,,80,40,Disagree,,,,,,,,,,35,75,Yes,,,,,,,,,,,,,,,,,,,I understand,10,60,70,50,20,75,50,20,80,20,80,80,50,50,50,50,50,70,30,50,50,70,40,90,1,1,3,31,Female,White,English,,Very Good,Other,tree,Some college,Somewhat liberal,Lean Democrat,No,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,12,,,7,3,,,2,,,,,,,8,,4,,,,5,10,,,,9,1,,,6,,,,11,,,,,,,8,7,4,5,6,1,3,2
2/20/20,2/20/20,IP Address,,100,439,TRUE,43881.57472,R_2PiBMhiwqi77CmG,,,,,,,anonymous,EN,I consent to take part in this study,5b5e812f856e8900019451f6,1990,I understand,,,,50,25,Disagree,15,40,Legal,,,,35,15,Somewhat of a problem,30,60,Yes,,,,25,30,Somewhat interested,,,,,,,,,,,,,,,,,,,35,45,"No, should not be",,,,15,30,"No, not made illegal",,,,,,,,,,,,,,,,30,50,"Ancient book of fables, legends, history, and moral precepts recorded by man",,,,,,,4,3,3,,,,3,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,Not allowed,,,,I understand,35,50,50,40,50,50,25,35,40,30,50,50,50,65,50,35,50,50,30,50,50,30,45,45,1,1,4,29,Male,White,English,,Very Good,Other,tree,Four-year college degree,Somewhat liberal,Independent,No,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,2,1,,5,11,,9,,,,,,,8,,7,,,,,,10,,,4,,6,12,,,,,,,,,,,,,3,,4,3,8,2,1,5,6,7
2/20/20,2/20/20,IP Address,,100,357,TRUE,43881.57558,R_AuPWsgQSkpBCgpz,,,,,,,anonymous,EN,I consent to take part in this study,5b5fc32fdb56360001f4f553,1993,I understand,80,50,Disagree,,,,,,,,,,,,,,,,,,,30,70,Fairly interested,20,52,Yes,,,,20,60,Yes,,,,70,40,Favor,30,55,"Yes, should be",20,80,"Yes, should be",,,,,,,,,,,,,,,,,,,,,,,,,60,50,Yes,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,50,50,Yes,,,,50,20,Work full time,,,,,,,,,,,,,,,,,,,,,,I understand,10,60,50,30,55,50,50,20,50,10,40,50,50,50,50,50,50,50,50,50,50,20,40,50,1,1,4,27,Female,Asian,Other (please enter in box below),vietnamese,Very Good,Other,tree,Associate's degree,Somewhat liberal,Lean Democrat,No,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,6,,,,,,,3,2,,8,,9,7,12,,,,,,,,,4,11,5,,,,,,,,10,,1,,,,,,,,3,6,1,2,8,5,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/20,2/20/20,IP Address,,100,540,TRUE,43881.57635,R_3fehwkIBwgoMcty,,,,,,,anonymous,EN,I consent to take part in this study,5e2504acb510aa77adb31478,1978,I understand,,,,60,20,Strongly disagree,,,,30,10,Always wrong,10,30,Not a problem at all,,,,80,40,Very important,,,,,,,,,,,,,,,,20,80,Oppose,,,,20,80,"No, should not be",,,,40,80,"No, not made illegal",,,,,,,10,50,Only a little,,,,10,30,Should,,,,,,,,,,6,3,6,5,2,1 (hardworking),2,5,5,,,,50,20,Somewhat opposed,,,,20,10,Neither in favor nor opposed,,,,30,90,Yes,,,,,,,,,,10,80,"Yes, think so",5,80,Allowed,,,,10,90,Allowed,10,40,Allowed,40,10,Allowed,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,41,Male,Black or African-American,English,,Very Good,Other,Tree,Graduate school,Somewhat conservative,Strongly Republican,No,,,1,,,,,,1,,7,14,,15,,,,,,13,,9,,8,,,20,,3,,,,4,12,5,,2,,11,,17,,,,18,6,,16,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/20,2/20/20,IP Address,,100,339,TRUE,43881.57723,R_3lLEEQJYjGGldGh,,,,,,,anonymous,EN,I consent to take part in this study,57e3fe4a813eb300018266eb,1988,I understand,,,,90,20,Disagree,,,,,,,,,,,,,,,,100,50,Not at all interested,,,,,,,10,90,Yes,5,80,Agree,90,90,Favor,,,,60,30,"Yes, should be",,,,,,,100,100,Decreased,20,5,Burden our country,20,80,A fair amount,,,,,,,,,,,,,,,,1 (hardworking),3,4,4,4,4,4,7 (intelligent),4,4,4,1 (hardworking),10,30,Very opposed,0,0,Neither in favor nor opposed,,,,,,,,,,30,90,Agree,,,,10,100,Yes,,,,0,0,Not allowed,,,,10,90,Allowed,0,0,Not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,31,Female,Asian,English,,Very Good,Other,tree,Four-year college degree,Neither liberal nor conservative,Lean Democrat,No,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,8,,,7,18,14,,1,,,9,13,11,,,,,,4,5,2,10,20,6,,,,16,,17,,15,,12,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/20,2/20/20,IP Address,,100,343,TRUE,43881.57725,R_41MkGjRXDJGUESZ,,,,,,,anonymous,EN,I consent to take part in this study,AV5FCKI1TTSKR,1974,I understand,,,,,,,15,60,Legal,,,,,,,,,,,,,40,45,Very interested,,,,,,,10,70,Yes,,,,5,40,Favor,5,5,"No, should not be",10,40,"No, should not be",,,,3,8,"No, not made illegal",,,,,,,3,30,A great deal,10,45,Human activities,,,,2,15,"Ancient book of fables, legends, history, and moral precepts recorded by man",,,,,,,,,,5,6,1 (hardworking),2,2,7 (intelligent),,,,35,10,Neither in favor nor opposed,,,,30,10,Neither in favor nor opposed,,,,40,52,Yes,,,,85,94,Work full time,,,,10,55,"Yes, think so",5,40,Allowed,,,,5,55,Allowed,5,8,Allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,45,Male,Black or African-American,English,,Very Good,Other,tree,Some college,Neither liberal nor conservative,Independent,No,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,,,17,,18,7,8,,4,,,2,14,,13,,,,19,20,,5,,12,,10,,9,,11,16,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/20,2/20/20,IP Address,,100,798,TRUE,43881.57789,R_2Va46d2QatrW8zz,,,,,,,anonymous,EN,I consent to take part in this study,579e09bd4d107800016dd938,1966,I understand,,,,,,,10,33,Not legal,15,10,Always wrong,,,,50,90,Yes,,,,50,55,Fairly interested,,,,,,,,,,,,,70,70,Favor,50,95,"Yes, should be",65,95,"Yes, should be",,,,40,70,"Yes, made illegal",,,,,,,,,,,,,,,,15,35,"Ancient book of fables, legends, history, and moral precepts recorded by man",,,,5,7 (intelligent),7 (intelligent),,,,,,,,,,2,1 (hardworking),1 (hardworking),,,,20,2,Very in favor,70,98,Very in favor,85,35,Disagree,,,,80,99,Strongly agree,85,50,Work part-time,20,35,Yes,50,75,"Yes, think so",,,,10,40,Allowed,,,,,,,85,99,Not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,53,Male,Asian,English,,Very Good,Other,tree,Graduate school,Very liberal,Strongly Democrat,No,,,1,,,,,,,14,3,,12,,15,,,,,19,10,6,,16,,,,,,4,,18,,,,13,,20,11,8,,17,9,2,1,,5,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/20,2/20/20,IP Address,,100,433,TRUE,43881.57791,R_Rqsz8stqeZWO3Lj,,,,,,,anonymous,EN,I consent to take part in this study,5e3fa65f3f87b91f0ce261b4,1995,I understand,,,,70,20,Strongly disagree,20,88,Legal,5,10,Almost always wrong,,,,,,,85,25,Not very important,,,,,,,75,10,Not wrong at all,2,70,Yes,,,,20,80,Favor,,,,30,70,"Yes, should be",60,35,Oppose,5,15,"No, not made illegal",80,60,Kept at present level,65,65,Strengthen our country,,,,20,70,Human activities,15,60,Should,,,,,,,,,,,,,7 (lazy),1 (hardworking),1 (hardworking),,,,,,,70,20,Neither in favor nor opposed,,,,,,,80,50,Disagree,20,60,Yes,,,,,,,5,85,Yes,,,,,,,20,80,Allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,24,Female,More than 1 of the above,English,,Very Good,Other,tree,Four-year college degree,Very liberal,Strongly Democrat,No,,,1,,,,,,19,5,18,,,11,,,6,15,,8,,13,2,10,16,12,,14,3,,,,,4,,,7,,,17,9,,,20,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/20,2/20/20,IP Address,,100,389,TRUE,43881.57801,R_29gJaiupx4R7ePU,,,,,,,anonymous,EN,I consent to take part in this study,5d6abe4fc651e70001d0ee80,1979,I understand,60,90,Agree,,,,,,,,,,,,,,,,,,,40,60,Very interested,60,70,Yes,,,,,,,,,,,,,50,80,"Yes, should be",30,60,"Yes, should be",40,70,Oppose,,,,,,,,,,,,,20,40,Human activities,,,,,,,,,,,,,1 (hardworking),6,2,,,,4,6,4,,,,,,,,,,,,,,,,,,,60,80,Agree,50,80,Work full time,,,,,,,,,,,,,,,,30,50,Allowed,,,,I understand,50,50,60,70,40,65,40,60,50,40,70,30,40,80,30,60,40,40,40,70,20,40,80,100,1,1,5,41,Female,Black or African-American,English,,Very Good,Other,tree,High school diploma,Neither liberal nor conservative,Strongly Democrat,No,I enjoy the survey and have a nice day.,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,11,,,,,,,4,9,,,,,6,12,7,,,,,5,,,,,8,,10,,,,,,,3,2,,,,,,1,,2,7,4,3,8,6,5,1
2/20/20,2/20/20,IP Address,,100,448,TRUE,43881.57845,R_3KDFwVacCrt3qrm,,,,,,,anonymous,EN,I consent to take part in this study,5bf31e39f757c2000130e8ee,1977,I understand,,,,,,,,,,10,10,Almost always wrong,,,,,,,,,,40,45,Very interested,25,90,Yes,,,,30,70,Yes,,,,,,,,,,80,70,"Yes, should be",,,,,,,,,,80,55,Strengthen our country,15,85,A great deal,,,,10,60,Should,10,35,"Ancient book of fables, legends, history, and moral precepts recorded by man",,,,5,5,5,2,2,3,2,2,3,5,5,5,,,,60,25,Neither in favor nor opposed,,,,,,,80,35,Disagree,45,95,Yes,60,70,Agree,,,,,,,,,,,,,,,,60,80,Allowed,40,40,Allowed,40,20,Allowed,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,43,Male,White,English,,Very Good,Other,tree,Some college,Very liberal,Independent,No,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,5,3,,14,,,,19,,,,2,4,,17,9,,16,7,6,12,,11,,,8,1,13,,,,,,10,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
