variable,explanation,verbatim text for opinion questions,target answer for opininion questions
StartDate,when participant began study,,
EndDate,"when participant ended study. May be nonsensical if participant didn't hit ""submit""",,
Status,internal Qualtrics variable,,
,,,
Progress,internal Qualtrics variable,,
Duration (in seconds),internal Qualtrics variable,,
Finished,internal Qualtrics variable,,
RecordedDate,internal Qualtrics variable,,
ResponseId,internal Qualtrics variable,,
RecipientLastName,internal Qualtrics variable,,
RecipientFirstName,internal Qualtrics variable,,
RecipientEmail,internal Qualtrics variable,,
ExternalReference,internal Qualtrics variable,,
,,,
,,,
DistributionChannel,internal Qualtrics variable,,
UserLanguage,internal Qualtrics variable,,
consent,response to consent form,,
id,"prolific ID, necessary for paying participants",,
birth_year,year in which participant was born,,
sc_instructions,displays instructions,,
spanking_1986,estimated responses to given item in given year,"Do you strongly agree, agree, disagree, or strongly disagree that it is sometimes necessary to discipline a child with a good, hard spanking? ",agree
spanking_2018,estimated responses to given item in given year,"Do you strongly agree, agree, disagree, or strongly disagree that it is sometimes necessary to discipline a child with a good, hard spanking? ",agree
spanking_self,participant's response to given item,,
woman_home_1977,estimated responses to given item in given year,"As I read each statement, please tell me whether you strongly agree, agree, disagree, or strongly disagree with it. For example, here is the statement: It is much better for everyone involved if the man is the achiever outside the home and the woman takes care of the family",agree
woman_home_2018,estimated responses to given item in given year,"As I read each statement, please tell me whether you strongly agree, agree, disagree, or strongly disagree with it. For example, here is the statement: It is much better for everyone involved if the man is the achiever outside the home and the woman takes care of the family ",agree
woman_home_self,participant's response to given item,,
weed_1973,estimated responses to given item in given year,Do you think the use of marijuana should be made legal or not? ,legal
weed_2018,estimated responses to given item in given year,Do you think the use of marijuana should be made legal or not? ,legal
weed_self,participant's response to given item,,
affairs_1973,estimated responses to given item in given year,"What is your opinion about a married person having sexual relations with someone other than the marriage partner--is it always wrong, almost always wrong, wrong only sometimes, or not wrong at all?",not wrong at all
affairs_2018,estimated responses to given item in given year,"What is your opinion about a married person having sexual relations with someone other than the marriage partner--is it always wrong, almost always wrong, wrong only sometimes, or not wrong at all?",not wrong at all
affairs_self,participant's response to given item,,
harassment_1986,estimated responses to given item in given year,"There has been a lot of discussion lately about sexual harassment of women in the workplace. Do you think this is a big problem, somewhat of a problem, or not a problem at all?",not a problem at all
harassment_2017,estimated responses to given item in given year,"There has been a lot of discussion lately about sexual harassment of women in the workplace. Do you think this is a big problem, somewhat of a problem, or not a problem at all?",not a problem at all
harassment_self,participant's response to given item,,
woman_prez_1972,estimated responses to given item in given year,"If your party nominated a woman for President, would you vote for her if she were qualified for the job? ",yes
woman_prez_2010,estimated responses to given item in given year,"If your party nominated a woman for President, would you vote for her if she were qualified for the job? ",yes
woman_prez_self,participant's response to given item,,
religion_1965,estimated responses to given item in given year,"How important would you say religion is in your own life--very important, fairly important or not very important? ",very important
religion_2018,estimated responses to given item in given year,"How important would you say religion is in your own life--very important, fairly important or not very important? ",very important
religion_self,participant's response to given item,,
politics_1990,estimated responses to given item in given year,How interested would you say you personally are in politics?,very interested
politics_2016,estimated responses to given item in given year,How interested would you say you personally are in politics?,very interested
politics_self,participant's response to given item,,
abortion_1977,estimated responses to given item in given year,Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,yes
abortion_2018,estimated responses to given item in given year,Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,yes
abortion_self,participant's response to given item,,
premarital_sex_1972,estimated responses to given item in given year,"There's been a lot of discussion about the way morals and attitudes about sex are changing in this country. If a man and woman have sex relations before marriage, do you think it is always wrong, almost always wrong, wrong only sometimes, or not wrong at all? ",always wrong or almost always wrong
premarital_sex_2018,estimated responses to given item in given year,"There's been a lot of discussion about the way morals and attitudes about sex are changing in this country. If a man and woman have sex relations before marriage, do you think it is always wrong, almost always wrong, wrong only sometimes, or not wrong at all? ",always wrong or almost always wrong
premarital_sex_self,participant's response to given item,,
black_prez_1978,estimated responses to given item in given year,"If your party nominated a (Negro/Black/African-American) for President, would you vote for him if he were qualified for the job?",yes
black_prez_2010,estimated responses to given item in given year,"If your party nominated a (Negro/Black/African-American) for President, would you vote for him if he were qualified for the job?",yes
black_prez_self,participant's response to given item,,
gay_marriage_1988,estimated responses to given item in given year,Do you agree or disagree? Homosexual couples should have the right to marry one another. ,agree
gay_marriage_2018,estimated responses to given item in given year,Do you agree or disagree? Homosexual couples should have the right to marry one another. ,agree
gay_marriage_self,participant's response to given item,,
gun_1972,estimated responses to given item in given year,Would you favor or oppose a law which would require a person to obtain a police permit before he or she could buy a gun? ,favor
gun_2018,estimated responses to given item in given year,Would you favor or oppose a law which would require a person to obtain a police permit before he or she could buy a gun? ,favor
gun_self,participant's response to given item,,
handgun_1987,estimated responses to given item in given year,"Do you think there should or should not be a law that would ban the possession of handguns, except by the police and other authorized persons? ",should be
handgun_2019,estimated responses to given item in given year,"Do you think there should or should not be a law that would ban the possession of handguns, except by the police and other authorized persons? ",should be
handgun_self,participant's response to given item,,
assault_1996,estimated responses to given item in given year,"Are you for or against a law which would make it illegal to manufacture, sell or possess semi- automatic guns known as assault rifles?",for
assault_2018,estimated responses to given item in given year,"Are you for or against a law which would make it illegal to manufacture, sell or possess semi- automatic guns known as assault rifles?",for
assault_self,participant's response to given item,,
death_1972,estimated responses to given item in given year,Do you favor or oppose the death penalty for persons convicted of murder?,favor
death_2018,estimated responses to given item in given year,Do you favor or oppose the death penalty for persons convicted of murder?,favor
death_self,participant's response to given item,,
smoking_1990,estimated responses to given item in given year,"Should smoking in this country be made totally illegal, or not?",yes
smoking_2018,estimated responses to given item in given year,"Should smoking in this country be made totally illegal, or not?",yes
smoking_self,participant's response to given item,,
immigration_1965,estimated responses to given item in given year,"Thinking now about immigrants -- that is, people who come from other countries to live here in the United States, in your view, should immigration be kept at its present level, increased or decreased? ",decrease
immigration_2019,estimated responses to given item in given year,"Thinking now about immigrants -- that is, people who come from other countries to live here in the United States, in your view, should immigration be kept at its present level, increased or decreased? ",decrease
immigration_self,participant's response to given item,,
i_strength_1994,estimated responses to given item in given year,"Which comes closer to your view — even if neither is exactly right:
Immigrants today strengthen our country because of their hard work and talents.
Immigrants today are a burden on our country because they take our jobs, housing and health care",strengthen
i_strength_2019,estimated responses to given item in given year,"Which comes closer to your view — even if neither is exactly right:
Immigrants today strengthen our country because of their hard work and talents.
Immigrants today are a burden on our country because they take our jobs, housing and health care",strengthen
i_strength_self,participant's response to given item,,
climate_worry_1990,estimated responses to given item in given year,"(I'm going to read you a list of environmental problems. As I read each one, please tell me if you personally worry about this problem a great deal, a fair amount, only a little, or not at all?)... The 'greenhouse effect,'/global warming/climate change ",worried great deal or fair amount
climate_worry_2019,estimated responses to given item in given year,"(I'm going to read you a list of environmental problems. As I read each one, please tell me if you personally worry about this problem a great deal, a fair amount, only a little, or not at all?)... The 'greenhouse effect,'/global warming/climate change ",worried great deal or fair amount
climate_worry_self,participant's response to given item,,
climate_belief_2001,estimated responses to given item in given year,"From what you have heard or read, do you believe increases in the earth's temperature over the last century are due more to the effects of pollution from human activities or natural changes in the environment that are not due to human activities? ",believe caused by human activities
